,points
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,4
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,2
-43,6
-43,1
-43,1
-43,2
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,2
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,4
-42,1
-42,1
-42,1
-42,3
-42,1
-42,4
-42,3
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,2
-42,1
-42,8
-42,1
-42,1
-42,2
-42,1
-42,1
-42,1
-42,2
-42,2
-42,1
-42,2
-42,1
-42,1
-42,2
-42,1
-42,1
-42,1
-42,1
-42,4
-42,1
-42,1
-42,1
-42,8
-42,1
-42,1
-42,1
-42,1
-42,1
-42,3
-42,1
-42,1
-42,4
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,6
-42,1
-42,1
-42,1
-42,1
-42,2
-42,1
-42,2
-42,1
-42,1
-42,1
-42,13
-42,1
-42,1
-42,1
-42,5
-42,4
-42,1
-42,1
-42,5
-42,2
-42,1
-42,1
-42,2
-42,1
-42,1
-42,1
-42,1
-42,6
-42,9
-42,2
-42,1
-42,1
-42,2
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,2
-42,1
-42,1
-42,1
-42,1
-42,2
-42,5
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,2
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,2
-42,1
-42,2
-42,1
-42,1
-42,3
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,7
-42,5
-42,1
-42,1
-42,2
-42,1
-42,5
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,2
-42,1
-42,1
-42,3
-42,1
-42,3
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,2
-42,1
-42,1
-42,2
-42,4
-42,1
-42,2
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,2
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,1
-42,3
-41,1
-41,2
-41,4
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,8
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,14
-41,1
-41,1
-41,1
-41,1
-41,1
-41,6
-41,1
-41,1
-41,1
-41,3
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,2
-41,3
-41,1
-41,1
-41,1
-41,5
-41,1
-41,1
-41,1
-41,1
-41,1
-41,3
-41,1
-41,2
-41,3
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,2
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,4
-41,4
-41,1
-41,1
-41,1
-41,1
-41,2
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,3
-41,2
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,5
-41,1
-41,1
-41,1
-41,1
-41,4
-41,6
-41,8
-41,2
-41,1
-41,1
-41,1
-41,2
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,3
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,6
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,9
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,2
-41,1
-41,1
-41,1
-41,1
-41,1
-41,12
-41,1
-41,1
-41,1
-41,1
-41,2
-41,2
-41,3
-41,1
-41,1
-41,2
-41,1
-41,1
-41,1
-41,2
-41,1
-41,1
-41,1
-41,1
-41,1
-41,4
-41,1
-41,1
-41,1
-41,2
-41,22
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,8
-41,1
-41,1
-41,1
-41,1
-41,2
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,6
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,7
-41,2
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,1
-41,2
