file_name,AUC,TSS
"Liopoeum_hirsutulum_(Spinola,_1851)_performance",0.993595264,0.95318
"Xylocopa_tranquebarorum_(Swederus,_1787)_performance",0.993591265,0.96653119
"Andrena_mikado_Strand_and_Yasumatsu,_1938_performance",0.99343781,0.97406
"Andrena_ziziaeformis_Cockerell,_1908_performance",0.99327749,0.954775161
"Meliturgula_haematospila_Cockerell,_1935_performance",0.993237045,0.951788182
"Nomada_ginran_Tsuneki,_1973_performance",0.993234286,0.9842
"Micralictoides_ruficaudus_(Michener,_1937)_performance",0.993160735,0.96316
"Brachyhesma_bitrichopedalis_Exley,_1968_performance",0.993120083,0.98258
"Megachile_humilis_Smith,_1879_performance",0.99302619,0.97838
"Coelioxys_yanonis_Matsumura,_1912_performance",0.993016691,0.9732
"Andrena_nigroclypeata_Linsley,_1939_performance",0.993010055,0.9457
"Lasioglossum_apristum_(Vachal,_1903)_performance",0.992889481,0.98264
"Lasioglossum_blackburni_(Cockerell,_1910)_performance",0.992861176,0.97242
"Anthophora_diversipes_Friese,_1922_performance",0.992808667,0.96296
"Andrena_yamato_Tadauchi_and_Hirashima,_1983_performance",0.992796917,0.98216
"Xylocopa_rufipes_Smith,_1852_performance",0.992765659,0.97204
"Exomalopsis_bruesi_Cockerell,_1914_performance",0.992726959,0.952213684
"Eucera_nipponensis_(Pérez,_1905)_performance",0.992719385,0.965317251
"Eucera_spurcatipes_Pérez,_1905_performance",0.992717222,0.98052
"Halictus_aerarius_Smith,_1873_performance",0.992673045,0.966228422
"Rediviva_rufipes_(Friese,_1913)_performance",0.992660654,0.98094
"Hylaeus_difficilis_(Perkins,_1899)_performance",0.992651333,0.97942
"Nomada_japonica_Smith,_1873_performance",0.992623677,0.962548613
"Lasioglossum_imitatum_unavailable_(Walker,_1986)_performance",0.992542667,0.98666
"Liphanthus_sabulosus_Reed,_1894_performance",0.99248375,0.9401
"Hylaeus_relegatus_(Smith,_1876)_performance",0.992414676,0.956272077
"Hylaeus_chrysaspis_(Cockerell,_1910)_performance",0.992355452,0.96534
"Lasioglossum_georgeickworti_Gibbs,_2011_performance",0.992258398,0.943403463
"Epeolus_zonatus_Smith,_1854_performance",0.9922375,0.97154
"Lasioglossum_cyaneonotus_(Crawford,_1907)_performance",0.992193956,0.9812
"Callomelitta_picta_Smith,_1853_performance",0.992157011,0.95832
"Leioproctus_incanescens_(Cockerell,_1913)_performance",0.99213375,0.98144
"Tetragona_perangulata_(Cockerell,_1917)_performance",0.992128791,0.98188
"Hylaeus_agilis_(Smith,_1876)_performance",0.992114524,0.95208
"Cadeguala_occidentalis_(Haliday,_1836)_performance",0.992069322,0.952958489
"Lasioglossum_alacarinatum_Walker,_1995_performance",0.992062286,0.9807
"Partamona_nhambiquara_Pedro_and_Camargo,_2003_performance",0.991989649,0.97074
"Lasioglossum_occidens_(Smith,_1873)_performance",0.9919816,0.98294
"Isepeolus_septemnotatus_(Spinola,_1851)_performance",0.991954,0.97828
"Leioproctus_boltoni_Cockerell,_1904_performance",0.991945497,0.939908889
"Euryglossula_fultoni_(Cockerell,_1913)_performance",0.991945,0.9515
"Nomada_tiftonensis_Cockerell,_1903_performance",0.991933333,0.927686667
"Melectoides_triseriatus_(Friese,_1908)_performance",0.991884368,0.921473684
"Fideliopsis_ornata_(Cockerell,_1932)_performance",0.991851667,0.9622
"Bombus_diversus_Smith,_1869_performance",0.991847918,0.943009659
"Colletes_halophilus_Verhoeff,_1944_performance",0.991821862,0.947923448
"Rediviva_intermixta_(Cockerell,_1934)_performance",0.991777949,0.96298
"Rediviva_simulans_(Michener,_1981)_performance",0.991723333,0.9465
"Lasioglossum_apocyni_(Mitchell,_1960)_performance",0.9917,0.93812
"Corynura_patagonica_(Cockerell,_1919)_performance",0.991570819,0.97878
"Andrena_vandykei_Cockerell,_1936_performance",0.99156594,0.941287692
"Augochloropsis_anonyma_(Cockerell,_1922)_performance",0.991542783,0.96834
"Pseudoanthidium_minutulum_(Brauns,_1905)_performance",0.991477135,0.97924
"Amegilla_florea_(Smith,_1879)_performance",0.991445529,0.97876
"Chalepogenus_caeruleus_(Friese,_1906)_performance",0.991256623,0.95274
"Centris_maculifrons_Smith,_1854_performance",0.991216952,0.92688
"Coelioxys_fenestratus_Smith,_1873_performance",0.991165,0.96034
"Partamona_chapadicola_Pedro_and_Camargo,_2003_performance",0.991086667,0.96946
"Lasioglossum_tamiamense_(Mitchell,_1960)_performance",0.99105525,0.97458
"Dianthidium_floridiense_Schwarz,_1926_performance",0.991026104,0.97338
"Amegilla_velutina_(Friese,_1909)_performance",0.99097446,0.946043448
"Mesonychium_garleppi_(Schrottky,_1910)_performance",0.99068875,0.9391
"Xylocopa_minor_Maidl,_1912_performance",0.99065,0.92842
"Melecta_edwardsii_Cresson,_1878_performance",0.9906425,0.95454
"Ceratina_japonica_Cockerell,_1911_performance",0.990640778,0.957123516
"Andrena_pensilis_Timberlake,_1938_performance",0.990482,0.96028
"Bombus_rubicundus_Smith,_1854_performance",0.990449711,0.904218639
"Megachile_euzona_Pérez,_1899_performance",0.990444743,0.96534
"Epeolus_glabratus_Cresson,_1878_performance",0.990423736,0.97622
"Xylocopa_ruficornis_Fabricius,_1804_performance",0.990408333,0.95254
"Lasioglossum_fattigi_(Mitchell,_1960)_performance",0.99037455,0.94336
"Anthidium_gayi_Spinola,_1851_performance",0.990351,0.93938
"Nomada_xanthura_Cockerell,_1908_performance",0.990337193,0.936140351
"Andrena_bicolorata_(Rossi,_1790)_performance",0.990325,0.9758
"Hylaeus_capitosus_(Smith,_1876)_performance",0.990265083,0.95506
"Andrena_anatolis_Linsley_and_MacSwain,_1961_performance",0.990236264,0.9731
"Palaeorhiza_turneriana_(Cockerell,_1905)_performance",0.990166603,0.96272
"Lasioglossum_occiduum_Walker,_1999_performance",0.990165541,0.942209091
"Colletes_brimleyi_Mitchell,_1951_performance",0.990104912,0.96736
"Ceratina_micheneri_Daly,_1973_performance",0.990102429,0.9739
"Sphecodes_smilacinae_Robertson,_1897_performance",0.990051538,0.93138
"Lasioglossum_florale_(Smith,_1853)_performance",0.990024998,0.937154319
"Lasioglossum_tarponense_(Mitchell,_1960)_performance",0.989988974,0.96886
"Andrena_pruni_Robertson,_1891_performance",0.989984462,0.93361268
"Andrena_carolina_Viereck,_1909_performance",0.989977092,0.935335962
"Bombus_funebris_Smith,_1854_performance",0.989976308,0.9071847
"Lasioglossum_pavonotum_(Cockerell,_1925)_performance",0.989976,0.921703077
"Perdita_consobrina_Timberlake,_1928_performance",0.989928333,0.96184
"Fidelia_kobrowi_Brauns,_1905_performance",0.989880458,0.96312
"Allanthidium_rudolphi_(Ruiz,_1938)_performance",0.989877048,0.932452381
"Bombus_ardens_Smith,_1879_performance",0.989841547,0.945825927
"Ceratina_perpolita_Cockerell,_1937_performance",0.9898275,0.95626
"Lasioglossum_katherineae_Gibbs,_2011_performance",0.989806925,0.930749982
"Lasioglossum_sordidum_(Smith,_1853)_performance",0.98972798,0.931145555
"Lasioglossum_smeathmanellum_(Kirby,_1802)_performance",0.989640367,0.922984373
"Lasioglossum_gotham_Gibbs,_2011_performance",0.989604333,0.917753333
"Lasioglossum_affine_(Smith,_1853)_performance",0.989563333,0.925533333
"Melipona_illustris_Schwarz,_1932_performance",0.989494917,0.95486
"Xylocopa_viridigastra_Lepeletier,_1841_performance",0.989461143,0.922548571
"Lasioglossum_supralucens_(Cockerell,_1916)_performance",0.989457167,0.97018
